artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Zinoleesky,Call of Duty,Call of Duty,2wfWK2cmM5DZ4VnT7rDnFO,0.893,0.84,11,-4.608,0,0.171,1.57e-06,0.119,0.812,116.05,144759,4
Burna Boy,"Love, Damini",Common Person,52oDXfdKV4faAFLnNyf0bl,0.642,0.683,4,-7.184,1,0.166,0.498,0.104,0.554,194.112,210347,4
Black Sherif,The Villain I Never Was,45,7xLP9GqWARDKSoGPsU3126,0.845,0.718,6,-7.934,0,0.238,0.0,0.0937,0.454,149.989,179201,4
Ruger,The Second Wave Deluxe,Girlfriend,4MzOppXoeKvDsVaNMeOK3C,0.788,0.913,5,-4.495,0,0.0671,0.0689,0.272,0.672,99.994,196800,4
Zlatan,Jaboti,Jaboti,1qi9wSY9usNeP5OHfBWtsX,0.909,0.882,0,-3.096,1,0.0442,0.179,0.259,0.306,120.027,153342,4
Omah Lay,Boy Alone,i’m a mess,1muOmaGrLHPU86XiE8pLgJ,0.862,0.632,1,-6.217,0,0.11,0.0256,0.112,0.626,93.909,153946,4
DJ Khaled,GOD DID,"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)",2sOj9vyd6yiss9W1IK6chU,0.42,0.725,8,-4.262,1,0.223,0.0,0.18,0.186,77.941,501648,1
BNXN fka Buju,Bad Since '97,Kenkele,0mb1o4mFhrcPHivtlVNCGD,0.638,0.724,8,-5.616,0,0.193,4.55e-05,0.0706,0.744,67.755,214061,3
Black Sherif,The Villain I Never Was,The Homeless Song,5OqEC0FWwCxMEUQ0IqR3v9,0.765,0.426,5,-10.071,0,0.0804,0.0,0.162,0.182,140.096,164586,4
Black Sherif,The Villain I Never Was,Oil in my Head,5zNWfIlGEVQ72uzVOGgAiZ,0.497,0.398,9,-13.886,1,0.242,0.0704,0.126,0.273,161.698,153373,5
JAE5,Propeller (feat. Dave & BNXN),Propeller (feat. Dave & BNXN),4A7sSA10D35HQUNrSOl5Zo,0.846,0.508,8,-7.873,1,0.308,0.000126,0.0961,0.567,126.447,204440,5
Ruger,The Second Wave Deluxe,WeWe,6vy5gmpM2yuLAhDRtGOtPw,0.719,0.584,6,-5.589,0,0.251,0.0,0.139,0.519,93.979,173617,4
Carterefe,Machala,Machala,7EG6jjb43ggH49wY5AlKYR,0.87,0.858,9,-5.841,0,0.112,0.00092,0.202,0.668,114.992,154565,4
Black Sherif,The Villain I Never Was,Konongo Zongo,3F6xtKBO2YixpP8lFJTiGo,0.75,0.373,11,-9.263,0,0.518,0.0,0.101,0.387,79.759,191986,4
Crayon,Ijo (Laba Laba),Ijo (Laba Laba),7tZMF9Hn5uGsfC7zGXbSKM,0.818,0.513,8,-11.382,0,0.0574,0.00105,0.0408,0.583,115.01,186000,4
Omah Lay,Boy Alone,bend you,3G2MG6jQJ1tC42NwAjRsxy,0.692,0.56,5,-5.84,0,0.132,0.393,0.101,0.307,193.952,159965,4
Mr Eazi,Patek,Patek,3Ry6M5to0EblssBg3pfJt8,0.87,0.45,1,-12.221,1,0.0434,0.414,0.0514,0.508,112.987,116427,4
Black Sherif,The Villain I Never Was,Oh Paradise,7HqY7deFLBcJCjJKuDA1La,0.881,0.317,11,-14.89,0,0.345,3.59e-06,0.0891,0.676,76.486,200787,4
Berri-Tiga,God,God,1Px7fs75casFjjk6T1sCEg,0.526,0.654,4,-5.655,1,0.311,0.00585,0.411,0.496,104.15,148744,4
Burna Boy,"Love, Damini",Different Size (feat. Victony),5Z1vl9fO2iaqB7M6B6MLat,0.728,0.751,6,-9.09,1,0.0365,0.0155,0.189,0.843,107.994,209969,4
Joeboy,Likkle Riddim,Likkle Riddim,3weAbRf5cn9SiCYxqZedot,0.826,0.679,1,-7.582,1,0.0904,0.594,0.0895,0.817,99.967,165613,4
Show Dem Camp,Palmwine Music 3,Mine Alone,4fnxxV0RRzHLaMHBAp4FCe,0.755,0.646,1,-6.543,0,0.283,0.0,0.0855,0.71,104.834,187429,4
Black Sherif,The Villain I Never Was,Prey Da Youngsta,4LbQKNPBYOeIHKjnCxN3nt,0.61,0.488,6,-9.06,0,0.221,0.0,0.0923,0.657,71.863,159199,4
Black Sherif,The Villain I Never Was,Sad Boys Don't Fold,0UtHD3hSKIglnfYtnaXE1L,0.517,0.559,5,-8.377,0,0.22,1.12e-06,0.133,0.548,139.22,161119,4
Black Sherif,Kwaku the Traveller,Kwaku the Traveller,7pXNFEzqeZB8rIbcFtYTop,0.64,0.552,0,-7.327,0,0.354,0.0,0.107,0.318,135.241,185365,4
BNXN fka Buju,Bad Since '97,In My Mind,1IiNgs5RGEYyGQFLXJvte5,0.566,0.502,6,-4.838,0,0.373,0.0,0.105,0.357,126.122,138034,5
Mavins,Overloading (OVERDOSE),Overloading (OVERDOSE),4lVEVXrlQlXPdYWMGTwrFe,0.546,0.611,0,-9.459,0,0.172,0.00149,0.101,0.749,104.059,205000,4
Chris Brown,Call Me Every Day (feat. Wizkid),Call Me Every Day (feat. Wizkid),7vVs4XCsQyGn1Au3drvo9Z,0.729,0.634,4,-7.194,0,0.175,1.35e-05,0.0997,0.772,171.862,146840,4
Mayorkun,Certified Loner (No Competition),Certified Loner (No Competition),6NKuW3yaNXtloGw1RB8WUi,0.931,0.676,6,-7.492,0,0.0498,0.0,0.103,0.739,111.948,165000,4
Black Sherif,The Villain I Never Was,Wasteman,3jKFt4kXB8EjY9beWwdvOv,0.796,0.52,1,-12.419,0,0.226,0.0554,0.249,0.86,146.054,154507,4
Magixx,ATOM,All Over,394IT4yrYjwT65ePqKLFbq,0.798,0.516,6,-9.995,1,0.213,4.3e-05,0.124,0.639,100.018,175200,4
B-RED,Faking It,Faking It,0yUdsqLGE5Vy0KFp8Pgo0I,0.857,0.598,6,-6.734,1,0.131,1.78e-05,0.0824,0.557,107.077,152000,4
Black Sherif,The Villain I Never Was,Toxic Love City,53ghSWYpqUBsopl2R0D5xl,0.88,0.391,6,-9.761,1,0.27,0.0,0.114,0.666,105.982,181119,4
Black Sherif,Second Sermon (Remix),Second Sermon - Remix,574QNMkQGedluLOgr275s9,0.583,0.689,1,-5.19,1,0.132,0.0,0.0791,0.932,139.284,194864,4
Joeboy,Contour,Contour,5OBtqiT5Zg1BqXPx4bBo6T,0.76,0.643,0,-7.856,0,0.051,0.000301,0.142,0.569,101.953,189015,4
Rexxie,Abracadabra,Abracadabra,7zhLSGUbneW7Tm3wpp3HjY,0.914,0.721,2,-6.966,1,0.0413,0.0352,0.0794,0.481,114.053,182073,4
Eltee Skhillz,Body of Work (Deluxe Edition),Supa,0mM8uOFxnzED0438pTqxuN,0.863,0.821,3,-4.333,0,0.0664,0.304,0.133,0.89,115.148,152485,4
BNXN fka Buju,Bad Since '97,Bad Since '97,5t5oLw5209yleTnJSqM097,0.765,0.827,9,-7.905,0,0.0723,0.0,0.0757,0.659,98.468,134728,4
Bright Sosa,Miracle,Miracle,5V9JE4ymXLtEBWixYmTeko,0.865,0.865,5,-3.005,1,0.123,0.000491,0.0711,0.691,115.014,186148,4
Fireboy DML,Playboy,All Of Us (Ashawo),6459gZKddpOoPIH8PAcCwS,0.605,0.813,11,-6.416,1,0.0903,0.0033,0.132,0.748,199.837,183350,4
Burna Boy,"Love, Damini",Cloak & Dagger (feat. J Hus),519SuHU1ai91BsRxDnT9Ki,0.791,0.608,8,-6.634,1,0.209,0.00109,0.278,0.497,103.063,211050,4
Black Sherif,The Villain I Never Was,We Up,2bJojWEUKvijZaSo7Jfh0W,0.621,0.386,7,-11.762,0,0.374,6.32e-06,0.158,0.243,100.938,147362,4
Spyro,Billing,Billing,5Uf7FM6gBCvAp8NRXEeghY,0.906,0.697,5,-7.473,1,0.0676,0.000342,0.261,0.686,111.043,165946,4
Future,I NEVER LIKED YOU,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,0.463,0.642,1,-4.474,1,0.34,0.0,0.0686,0.339,83.389,189893,4
Bad Boy Timz,Big Money,Big Money,5cKpgv19Uh2kwWM29Q5YNp,0.869,0.731,4,-2.464,0,0.147,0.00907,0.178,0.603,120.059,139000,4
Young Jonn,Love is Not Enough,Normally,2VA1XsvSN6H60KZSEvf9Bt,0.848,0.704,5,-5.246,1,0.0679,2.1e-05,0.114,0.103,117.023,151665,4
Bella Shmurda,New Born Fela,New Born Fela,3yifENCc2SkxVfpfnuCwas,0.796,0.554,6,-6.261,0,0.209,0.0,0.187,0.452,103.989,129808,4
Zinoleesky,Loving You,Loving You,6othjWxN6khdhiLu9GdOtj,0.748,0.828,1,-3.591,1,0.189,0.00044,0.0797,0.584,80.037,125030,3
Black Sherif,The Villain I Never Was,Don't Forget Me,4Fdm46tacCOcpBCk8K7dL3,0.699,0.582,1,-7.7,0,0.413,0.0,0.158,0.725,94.626,183293,3
Show Dem Camp,Palmwine Music 3,Live Life,4pKxSb1G8lArMWLqFCSPUz,0.861,0.658,7,-3.473,1,0.0731,0.00179,0.0972,0.535,100.003,221400,4
Kizz Daniel,Buga (Lo Lo Lo),Buga (Lo Lo Lo),4eZZofkV1OQ9GDqAgHqNpA,0.92,0.716,8,-7.104,1,0.105,0.00222,0.104,0.961,115.991,183103,4
Camidoh,"Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]","Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]",0ApflIvLLPwEZuS36WYlh6,0.582,0.695,8,-5.506,1,0.0975,5.9e-06,0.112,0.543,101.005,251286,4
Magixx,Shaye,Shaye,0hFgFEdlRzbWGZGEHiCwPy,0.655,0.757,5,-5.625,1,0.133,2.05e-05,0.099,0.655,114.999,169043,4
Tiwa Savage,Jaiye Foreign,Jaiye Foreign,3iRKwxW8ZDjmL9nKk3nisz,0.82,0.816,5,-6.29,0,0.077,7.81e-05,0.0541,0.861,108.98,190165,4
Falz,B A H D,Knee Down,3ovSaVUTDOtxfDw5xh9qJ4,0.84,0.529,6,-7.521,0,0.297,3.67e-05,0.111,0.581,67.432,147327,5
Olamide,We Outside,We Outside,73QcmfEnoLv3pKt0aXKdOG,0.615,0.852,0,-6.283,1,0.2,0.0358,0.0994,0.578,114.011,172632,4
Mr Eazi,Legalize,Legalize,1kd8fI9o55GNWvNOfzKcz5,0.574,0.648,9,-5.583,1,0.268,5.85e-05,0.266,0.559,132.418,146250,5
